source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
S1004538,7,7,7,7,6,3.0,3.0,4.0,True,6.0,"[2, 2, 3]",-898.8976842101305,0.30772267393786024,396041.0
S1004539,11,11,11,11,10,3.0,3.0,5.0,True,10.0,"[2, 2, 4]",-905.0531281939783,0.3897658260711978,396143.0
S1004548,8,8,8,8,7,4.0,4.0,5.0,True,7.0,"[5, 5, 2]",-623.463050919,0.9626687000263701,396298.0
S1004568,15,15,15,15,14,4.0,4.0,12.0,True,14.0,"[4, 9, 2]",-2036.6272552325715,0.028439035759220133,1938417.0
S1004569,15,15,15,15,14,6.0,6.0,12.0,True,14.0,"[9, 9, 5]",-1819.6202630851428,0.41127535700979934,396606.0
S1004625,9,9,9,9,8,4.0,4.0,6.0,True,8.0,"[4, 4, 4]",-1929.6194670215002,0.5999087004511239,396755.0
S1004646,11,11,11,11,10,5.0,5.0,8.0,True,10.0,"[7, 7, 3]",-3889.629479127889,0.7452871664099803,396890.0
S1004688,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[1, 2, 3]",-1904.6811584818056,0.8269848055988405,396972.0
S1004708,14,14,14,14,13,8.0,8.0,11.0,True,13.0,"[9, 9, 4]",-1182.7061450086999,0.5378038001708774,397122.0
S1004734,4,4,4,4,3,0.0,0.0,1.0,True,3.0,"[2, 2, 2]",-365.08418257738333,0.0020738667103614716,397226.0
S1004737,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 1]",-368.0050750148333,0.07250390473245716,397274.0
S1004739,4,4,4,4,3,0.0,1.0,1.0,True,3.0,"[2, 2, 1]",-1094.0928550940434,0.4345596305483923,397328.0
S1004745,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-1011.8230608084615,0.10710273079439503,397412.0
S1004746,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 1, 2]",-502.95012623259095,0.6531087272492186,397503.0
S1004747,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[2, 2, 3]",-631.4367193927,0.2334273500537165,397593.0
S1004748,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 1, 2]",-1096.7108771534374,0.6941062813439203,397662.0
S1004751,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 2, 2]",-1250.3998770206874,0.8581143126775714,397728.0
S1004752,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 2, 2]",-1240.66655799925,0.9045149374742323,397803.0
S1004760,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 1, 1]",-1044.4674598639583,0.7666680417059979,397891.0
S1004763,4,4,4,4,3,1.0,1.0,1.0,True,3.0,"[2, 2, 1]",-791.692386164375,0.22171495845668687,397960.0
